region key;is sea?;hex
vik_reg_abberdeon;false;B8B8B8
vik_reg_aberffro;false;8B6914
vik_reg_aberteifi;false;E664B9
vik_reg_achadh_bo;false;27408B
vik_reg_aebburcurnig;false;C0FF3E
vik_reg_aelmham;false;5E5E5E
vik_reg_aethelingaeg;false;C7C7C7
vik_reg_airchardan;false;104E8B
vik_reg_alclyt;false;F08080
vik_reg_alt_clut;false;00FF00
vik_reg_an_tinbhear_mor;false;EEDFCC
vik_reg_aporcrosan;false;969696
vik_reg_ard_fert;false;CD5A96
vik_reg_ard_macha;false;BBFFFF
vik_reg_ard_mor;false;B4EEB4
vik_reg_ard_sratha;false;9370DB
vik_reg_ardach;false;838B83
vik_reg_axanbrycg;false;3CB371
vik_reg_balla;false;D6D6D6
vik_reg_basengas;false;262626
vik_reg_bathanceaster;false;878787
vik_reg_bebbanburg;false;EEE0E5
vik_reg_bedanford;false;FAFAFA
vik_reg_beoferlic;false;00EEEE
vik_reg_blascona;false;B5B5B5
vik_reg_bodmine;false;CDBE70
vik_reg_bornais;false;FF6347
vik_reg_brechin;false;424242
vik_reg_brideport;false;FFE7BA
vik_reg_brug;false;EE7621
vik_reg_buccingahamm;false;912CEE
vik_reg_cair_gwent;false;CD5B45
vik_reg_cair_mirddin;false;4EEE94
vik_reg_cair_segeint;false;9C9C9C
vik_reg_cairlinn;false;E0FFFF
vik_reg_caisil;false;009ACD
vik_reg_cantwaraburg;false;707070
vik_reg_carleol;false;ADADAD
vik_reg_casteltoun;false;F8F8FF
vik_reg_cathair_commain;false;B22222
vik_reg_cathair_domnaill;false;53868B
vik_reg_ceaster;false;FFE4B5
vik_reg_cell_alaid;false;A6A6A6
vik_reg_cell_cainning;false;9A32CD
vik_reg_cell_daltain;false;EEDD82
vik_reg_cell_maic_aeda;false;B0E2FF
vik_reg_cell_mor;false;DB7093
vik_reg_celmeresfort;false;88CEFF
vik_reg_cenannas;false;FF8C00
vik_reg_cetretha;false;FF4040
vik_reg_cherchebi;false;FFF8DC
vik_reg_cippanhamm;false;EEA964
vik_reg_cirenceaster;false;4169E1
vik_reg_cissanbyrig;false;0000FF
vik_reg_clocher;false;CDBA96
vik_reg_cluain;false;636363
vik_reg_cluain_eoais;false;EE7942
vik_reg_cluain_iraird;false;668B8B
vik_reg_cluain_mac_nois;false;696969
vik_reg_cluain_mor;false;40E0D0
vik_reg_cnodba;false;458B00
vik_reg_coinnire;false;8F8F8F
vik_reg_coldingaham;false;F4F4F4
vik_reg_colneceaster;false;8FBC8F
vik_reg_corcach;false;919191
vik_reg_cridiatune;false;E0669B
vik_reg_dacor;false;FF1493
vik_reg_dear;false;8EE5EE
vik_reg_deoraby;false;EED5B7
vik_reg_din_prys;false;8A8A8A
vik_reg_dinas_powis;false;575757
vik_reg_dinefwr;false;9DB6CD
vik_reg_dofere;false;76EEC6
cib_reg_alauna;false;BC8F8F
vik_reg_doneceaster;false;FF0000
vik_reg_dor;false;242424
vik_reg_doreceaster;false;8B008B
vik_reg_drayton;false;CAE1FF
vik_reg_druim_collachair;false;7D7D7D
vik_reg_druim_da_ethiar;false;D9D9D9
vik_reg_dugannu;false;080808
vik_reg_dun_aberte;false;9AC0CD
vik_reg_dun_att;false;CD1076
vik_reg_dun_beccan;false;8B7500
vik_reg_dun_cailden;false;8B8378
vik_reg_dun_domnaill;false;CDB38B
vik_reg_dun_duirn;false;F5F5DC
vik_reg_dun_eachainn;false;FFFACD
vik_reg_dun_foither;false;B0E0E6
vik_reg_dun_na_ngall;false;8968CD
vik_reg_dun_nechtain;false;B23AEE
vik_reg_dun_ollaig;false;8B8970
vik_reg_dun_patraic;false;8B4726
vik_reg_dun_sebuirgi;false;436EEE
vik_reg_dunholm;false;E0EEE0
vik_reg_dyflin;false;E68AE6
vik_reg_dynbaer;false;D2B48C
cib_reg_bibrax;false;836FFF
cib_reg_bratus;false;B0D8E6
vik_reg_eidenburg;false;813626
vik_reg_elig;false;BCD2EE
vik_reg_eoferwic;false;48D1CC
cib_reg_caracotinum;false;EE3B3B
vik_reg_ethandun;false;F0E68C
vik_reg_exanceaster;false;8B668B
vik_reg_ferna;false;00E5EE
vik_reg_flichesburg;false;BA55D3
vik_reg_forais;false;FFDEAD
vik_reg_gipeswic;false;D1EEEE
cib_reg_crociatonum;false;F5F5F5
vik_reg_gleann_da_loch;false;5F9EA0
vik_reg_gleawceaster;false;826EFA
vik_reg_grantabrycg;false;BF3EFF
vik_reg_grianan_aileach;false;A2CD5A
vik_reg_guldeford;false;B3EE3A
vik_reg_guvan;false;EEB422
vik_reg_gyruum;false;CDCDB4
vik_reg_haestingas;false;4D4D4D
vik_reg_hagustaldes;false;FA8072
vik_reg_haverfordia;false;EE5C42
vik_reg_hereford;false;82616E
vik_reg_herutford;false;828282
vik_reg_heslerton;false;7CFC00
vik_reg_hlymrekr;false;595959
vik_reg_hripum;false;EEE5DE
cib_reg_nemetocenna;false;EED5D2
vik_reg_hwitan_aerne;false;B03060
vik_reg_imblech_ibair;false;698B69
vik_reg_inber_nise;false;A3A3A3
vik_reg_inis_cathaigh;false;FFC11B
vik_reg_inis_faithlenn;false;00CED1
vik_reg_inis_patraic;false;EE799F
vik_reg_ioua;false;CFCFCF
vik_reg_laewe;false;696B69
vik_reg_lann_afan;false;BCEE68
vik_reg_lann_cors;false;8B7D6B
vik_reg_lann_dewi;false;FFEC8B
vik_reg_lann_idloes;false;8B1A1A
vik_reg_lann_ildut;false;CD3333
vik_reg_lann_padarn;false;E0EEEE
vik_reg_latharn;false;EEAD0E
vik_reg_latharna;false;DA70D6
vik_reg_licetfelda;false;7B68EE
vik_reg_ligeraceaster;false;B0B0B0
vik_reg_lindcylne;false;00EE00
vik_reg_linns;false;EEC900
vik_reg_lis_mor;false;6959CD
vik_reg_liwtune;false;CD3700
vik_reg_loch_gabhair;false;8B0000
vik_reg_loch_raich;false;AFEEEE
vik_reg_loidis;false;DDA0DD
vik_reg_lonceaster;false;E3E3E3
vik_reg_lude;false;8B8682
vik_reg_lunden;false;2E8B57
cib_reg_noviodunum;false;CD9B9B
vik_reg_mailros;false;FAF0E6
vik_reg_mameceaster;false;CD0000
vik_reg_mathrafal;false;8B8878
vik_reg_menevia;false;8B8B00
vik_reg_middeherst;false;CD3278
vik_reg_moige_bile;false;FF5CCB
vik_reg_na_seciri;false;CDC1C5
vik_reg_nas;false;7A8B8B
vik_reg_nedd;false;C71585
vik_reg_northhamtun;false;008B45
vik_reg_northwic;false;EECFA1
vik_reg_oswaldestroe;false;CDC5BF
vik_reg_otergimele;false;FFEFD5
vik_reg_oxnaforda;false;FFEBCD
vik_reg_pefenesea;false;3D3D3D
vik_reg_poclintun;false;000080
vik_reg_porteceaster;false;EE64AD
vik_reg_rath_cruachan;false;008B8B
vik_reg_rath_luraig;false;EE3A8C
vik_reg_rendlesham;false;9AFF9A
vik_reg_rinnin;false;FF4500
vik_reg_rocheberie;false;CD7054
vik_reg_rofeceaster;false;00CD66
vik_reg_ros;false;8B6969
vik_reg_ros_ailithir;false;FFD39B
vik_reg_ros_cuissine;false;333333
vik_reg_ros_maircind;false;DEB887
vik_reg_rudglann;false;DAA520
vik_reg_saigher;false;D1D1D1
vik_reg_sancte_albanes;false;6495ED
vik_reg_sancte_eadmundes;false;698B22
cib_reg_noviomagos;false;CD69C9
vik_reg_sancte_ye;false;00EE76
vik_reg_sceaftesburg;false;8B3A62
vik_reg_scireburnan;false;A0522D
vik_reg_sconnin;false;B4CDCD
vik_reg_scrobbesburg;false;FF3030
vik_reg_seolesigge;false;9B30FF
vik_reg_snotingaham;false;EED2EE
vik_reg_sreth_belin;false;303030
cib_reg_portus_itius;false;54FF9F
cib_reg_ratumacos;false;5CACEE
